cdsID	uniprot	u_ev	spur	s_ev	cel	cel_ev	dmel	dmel_ev
lcl|NW_011935450.1_cds_XP_011430330.1_10770	sp|Q0E908|HIL_DROME	3.18e-47	XP_030843285.1	1.43e-45	K02C4.4b	1.06e-44	NA	NA
lcl|NW_011935450.1_cds_XP_011430329.1_10771	sp|Q0E908|HIL_DROME	3.22e-47	XP_030843285.1	9.92e-46	K02C4.4b	1.11e-44	NA	NA
lcl|NW_011935450.1_cds_XP_011430327.1_10772	sp|Q0E908|HIL_DROME	2.86e-47	XP_030843285.1	1.45e-45	K02C4.4b	1.6e-44	NA	NA
lcl|NW_011935450.1_cds_XP_011430321.1_10773	sp|Q0E908|HIL_DROME	2.41e-47	XP_030843285.1	1.66e-45	K02C4.4b	1.56e-44	NA	NA
lcl|NW_011935450.1_cds_XP_011430323.1_10774	sp|Q0E908|HIL_DROME	2.41e-47	XP_030843285.1	1.66e-45	K02C4.4b	1.56e-44	NA	NA
lcl|NW_011935450.1_cds_XP_011430324.1_10775	sp|Q0E908|HIL_DROME	2.41e-47	XP_030843285.1	1.66e-45	K02C4.4b	1.56e-44	NA	NA
lcl|NW_011935450.1_cds_XP_011430331.1_10776	sp|Q0E908|HIL_DROME	3.84e-47	XP_030843285.1	1.62e-45	K02C4.4b	8.38e-45	NA	NA
lcl|NW_011935450.1_cds_XP_011430332.1_10777	sp|Q6DGV7|M17L2_DANRE	1.21e-44	XP_030852305.1	2.02e-39	ZK470.1	1.27e-31	NA	NA
lcl|NW_011935450.1_cds_XP_011430333.1_10778	sp|Q9WTP7|KAD3_MOUSE	3.76e-96	NP_001229606.1	6.97e-91	C29E4.8	2.24e-50	NA	NA
lcl|NW_011935450.1_cds_XP_011430335.1_10779	sp|Q15397|PUM3_HUMAN	1.9e-64	XP_030851927.1	3.29e-63	ZK945.3	1.72e-38	NA	NA
lcl|NW_011935451.1_cds_XP_019923694.1_10780	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430338.1_10781	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430339.1_10782	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430342.1_10783	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430344.1_10784	sp|P46023|GR101_LYMST	0	XP_030830484.1	0	F29D11.1	3.36e-47	NA	NA
lcl|NW_011935451.1_cds_XP_011430345.1_10785	sp|P46023|GR101_LYMST	0	XP_030830484.1	0	F29D11.1	3.12e-47	NA	NA
lcl|NW_011935451.1_cds_XP_019923696.1_10786	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430347.1_10787	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430348.1_10788	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_019923695.1_10789	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430352.1_10790	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430350.1_10791	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430349.1_10792	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_019923697.1_10793	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430353.1_10794	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430354.1_10795	sp|Q66JT5|TPGS2_MOUSE	2.48e-73	XP_030833094.1	1.75e-75	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430355.1_10796	sp|Q68CL5|TPGS2_HUMAN	7.43e-76	XP_030833094.1	7.5e-79	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430357.1_10797	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430358.1_10798	sp|P55199|ELL_HUMAN	3.82e-29	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430359.1_10799	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430360.1_10800	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_019923698.1_10801	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430361.1_10802	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430362.1_10803	sp|O42329|GNRR2_CLAGA	5.24e-58	XP_030833305.1	4.48e-56	F54D7.3a	2.99e-53	NA	NA
lcl|NW_011935451.1_cds_XP_011430364.1_10804	sp|O42329|GNRR2_CLAGA	1.26e-56	XP_030833305.1	4.29e-56	F54D7.3a	1.28e-53	NA	NA
lcl|NW_011935451.1_cds_XP_019923699.1_10805	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_019923700.1_10806	sp|Q9NUV9|GIMA4_HUMAN	2.25e-48	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430373.1_10807	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430368.2_10808	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430374.1_10809	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935451.1_cds_XP_011430375.1_10810	NA	NA	XP_030848739.1	0	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_011430406.1_10811	sp|Q8TCT9|HM13_HUMAN	3e-160	XP_030838960.1	5.57e-169	T05E11.5	2.05e-56	FBgn0031260	6.4e-70
lcl|NW_011935452.1_cds_XP_011430378.1_10812	sp|P31319|KAPR_APLCA	0	XP_030854778.1	1.2e-167	R07E4.6b	1.94e-129	FBgn0259243	6.39e-32
lcl|NW_011935452.1_cds_XP_011430381.1_10813	sp|P31319|KAPR_APLCA	0	XP_030854778.1	1.8e-167	R07E4.6b	1.82e-129	FBgn0259243	6.35e-32
lcl|NW_011935452.1_cds_XP_011430377.1_10814	sp|P31319|KAPR_APLCA	0	XP_030854778.1	2.05e-170	R07E4.6b	4.28e-132	FBgn0259243	7.92e-32
lcl|NW_011935452.1_cds_XP_011430376.1_10815	sp|P31319|KAPR_APLCA	0	XP_030854778.1	1.47e-167	R07E4.6b	2.73e-129	FBgn0259243	8.04e-32
lcl|NW_011935452.1_cds_XP_011430379.1_10816	sp|P31319|KAPR_APLCA	0	XP_030854778.1	1.28e-167	R07E4.6b	1.74e-129	FBgn0259243	6.39e-32
lcl|NW_011935452.1_cds_XP_011430382.1_10817	sp|D3YWJ0|SLIP_MOUSE	6.58e-26	NA	NA	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_011430383.1_10818	sp|D3YWJ0|SLIP_MOUSE	6.58e-26	NA	NA	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_011430384.1_10819	sp|D3YWJ0|SLIP_MOUSE	6.58e-26	NA	NA	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_011430386.1_10820	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_011430388.1_10821	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_019923701.1_10822	sp|Q9I9A7|CDT1_XENLA	1.26e-58	XP_030830961.1	1.45e-48	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_011430392.2_10823	sp|Q3B8G0|CZIB_XENLA	2.32e-69	XP_003731527.1	8.87e-66	F46B6.12	2.14e-40	NA	NA
lcl|NW_011935452.1_cds_XP_011430393.1_10824	NA	NA	XP_785549.3	8.65e-62	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_019923702.1_10825	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_011430394.1_10826	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_011430397.1_10827	NA	NA	NA	NA	C35A5.7	5.79e-31	NA	NA
lcl|NW_011935452.1_cds_XP_011430399.1_10828	NA	NA	NA	NA	C35A5.7	5.79e-31	NA	NA
lcl|NW_011935452.1_cds_XP_011430395.1_10829	sp|Q20929|DMSR1_CAEEL	3.73e-23	NA	NA	C35A11.1	1.06e-33	NA	NA
lcl|NW_011935452.1_cds_XP_011430396.1_10830	sp|Q20929|DMSR1_CAEEL	3.73e-23	NA	NA	C35A11.1	1.06e-33	NA	NA
lcl|NW_011935452.1_cds_XP_019923703.1_10831	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_011430402.1_10832	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935452.1_cds_XP_011430407.2_10833	sp|Q8BV79|TRNK1_MOUSE	0	NA	NA	NA	NA	NA	NA
lcl|NW_011935453.1_cds_XP_011430408.1_10834	sp|Q1ZZH1|GRM3_MACFA	1e-62	XP_030835366.1	1.14e-86	ZC506.4a	5.04e-39	NA	NA
lcl|NW_011935453.1_cds_XP_011430409.1_10835	sp|Q5R6K8|PP4C_PONAB	1.31e-162	XP_799172.2	5.33e-165	Y75B8A.30	3.3e-145	FBgn0023177	1.52e-69
lcl|NW_011935455.1_cds_XP_011430414.1_10836	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935455.1_cds_XP_011430410.2_10837	sp|Q86UT8|CATAC_HUMAN	7.19e-38	NA	NA	NA	NA	NA	NA
lcl|NW_011935455.1_cds_XP_011430413.1_10838	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935455.1_cds_XP_011430415.1_10839	sp|P04323|POL3_DROME	7.28e-25	XP_030838252.1	2.09e-27	NA	NA	NA	NA
lcl|NW_011935456.1_cds_XP_011430416.1_10840	sp|P11047|LAMC1_HUMAN	7.14e-123	XP_011671272.2	9.01e-123	C54D1.5	5.12e-115	NA	NA
lcl|NW_011935456.1_cds_XP_019923704.1_10841	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935456.1_cds_XP_019923705.1_10842	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935456.1_cds_XP_011430417.1_10843	sp|A6QLI1|VGLU2_BOVIN	1.61e-80	XP_030845556.1	2.04e-85	ZK512.6b	4.4e-72	NA	NA
lcl|NW_011935456.1_cds_XP_011430419.1_10844	sp|A6QLI1|VGLU2_BOVIN	9.97e-70	XP_030845556.1	5.53e-71	ZK512.6b	4.78e-59	NA	NA
lcl|NW_011935456.1_cds_XP_011430423.1_10845	sp|Q96AY4|TTC28_HUMAN	2.14e-28	XP_030853319.1	0	NA	NA	NA	NA
lcl|NW_011935456.1_cds_XP_011430422.1_10846	sp|Q96AY4|TTC28_HUMAN	2.15e-28	XP_030853319.1	0	NA	NA	NA	NA
lcl|NW_011935456.1_cds_XP_011430421.1_10847	sp|Q96AY4|TTC28_HUMAN	2.17e-28	XP_030853319.1	0	NA	NA	NA	NA
lcl|NW_011935456.1_cds_XP_011430420.1_10848	sp|Q96AY4|TTC28_HUMAN	2.18e-28	XP_030853319.1	0	NA	NA	NA	NA
lcl|NW_011935456.1_cds_XP_019923706.1_10849	sp|Q68G38|TOR1A_RAT	1.78e-41	XP_030854055.1	1.73e-30	C18E9.11b	7.18e-37	NA	NA
lcl|NW_011935456.1_cds_XP_011430424.1_10850	sp|Q68G38|TOR1A_RAT	1.78e-41	XP_030854055.1	1.73e-30	C18E9.11b	7.18e-37	NA	NA
lcl|NW_011935456.1_cds_XP_011430425.1_10851	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_019923707.1_10852	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430427.1_10853	sp|Q9JIX0|ENY2_MOUSE	5.8e-47	XP_796085.2	5.88e-45	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_019923709.1_10854	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430429.1_10855	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430431.1_10856	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430436.1_10857	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430437.1_10858	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430438.1_10859	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430439.1_10860	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430428.1_10861	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430430.1_10862	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430433.1_10863	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430434.1_10864	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_011430440.1_10865	sp|Q95044|UBE2C_SPISO	1.31e-81	XP_795580.1	4.92e-73	C35B1.1	4.2e-35	FBgn0264848	9.16e-27
lcl|NW_011935457.1_cds_XP_011430441.1_10866	sp|A9UMG5|IMPTB_XENTR	8.37e-87	XP_030832017.1	1.53e-75	Y52B11A.2a	2.81e-53	NA	NA
lcl|NW_011935457.1_cds_XP_011430442.1_10867	sp|A9UMG5|IMPTB_XENTR	3.26e-88	XP_030832017.1	5.32e-75	Y52B11A.2a	1.24e-53	NA	NA
lcl|NW_011935457.1_cds_XP_019923710.1_10868	sp|A9UMG5|IMPTB_XENTR	5.53e-77	XP_030832017.1	1.53e-65	Y52B11A.2a	1.1e-41	NA	NA
lcl|NW_011935457.1_cds_XP_019923711.1_10869	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_019923713.1_10870	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935457.1_cds_XP_019923714.1_10871	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_019923718.1_10872	sp|Q99MU3|DSRAD_MOUSE	3.27e-96	XP_030849188.1	1.55e-98	T20H4.4	4.69e-47	NA	NA
lcl|NW_011935458.1_cds_XP_019923717.1_10873	sp|Q99MU3|DSRAD_MOUSE	5.67e-96	XP_030849200.1	3.08e-98	T20H4.4	5.94e-47	NA	NA
lcl|NW_011935458.1_cds_XP_011430445.1_10874	sp|Q9I8C7|ACH10_CHICK	1.22e-114	XP_782644.4	1.31e-112	Y110A7A.3	2.88e-102	NA	NA
lcl|NW_011935458.1_cds_XP_011430448.1_10875	sp|Q9I8C7|ACH10_CHICK	1.3e-115	XP_782644.4	4.81e-114	Y110A7A.3	9.87e-105	NA	NA
lcl|NW_011935458.1_cds_XP_019923720.1_10876	sp|Q9I8C7|ACH10_CHICK	6.6e-106	XP_782644.4	2.21e-104	F27B3.2d	4.12e-93	NA	NA
lcl|NW_011935458.1_cds_XP_019923715.1_10877	sp|Q9R0W9|ACHA6_MOUSE	6.81e-86	XP_786790.3	2.63e-88	F25G6.3	2.94e-76	NA	NA
lcl|NW_011935458.1_cds_XP_011430449.1_10878	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_019923716.1_10879	sp|Q9DGD1|MGT4C_CHICK	1.23e-66	XP_030845500.1	6.19e-63	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_011430450.2_10880	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_011430452.1_10881	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_019923721.1_10882	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_011430451.1_10883	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_011430453.1_10884	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_011430456.1_10885	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_011430457.1_10886	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_011430454.1_10887	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_019923723.1_10888	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_019923724.1_10889	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_011430458.1_10890	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_011430459.1_10891	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_011430460.1_10892	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_019923725.1_10893	sp|Q99996|AKAP9_HUMAN	1.8e-22	XP_030846593.1	1.37e-70	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_019923726.1_10894	sp|Q99996|AKAP9_HUMAN	1.65e-22	XP_030846593.1	3.06e-71	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_019923727.1_10895	sp|Q99996|AKAP9_HUMAN	3.31e-23	XP_030846593.1	4.79e-72	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_019923728.1_10896	sp|Q99996|AKAP9_HUMAN	1.5e-22	XP_030846593.1	5.12e-71	NA	NA	NA	NA
lcl|NW_011935458.1_cds_XP_019923729.1_10897	sp|Q99996|AKAP9_HUMAN	1.04e-22	XP_030846593.1	4.38e-72	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_011430469.1_10898	sp|Q32NR4|TTC29_XENLA	1.38e-93	XP_795511.2	7.94e-123	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_011430470.1_10899	sp|Q9CZV5|ST65G_MOUSE	2.5e-52	XP_030833008.1	2.18e-31	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_011430473.1_10900	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_011430474.1_10901	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_011430475.1_10902	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_011430476.1_10903	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_011430477.1_10904	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_011430478.1_10905	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_011430481.1_10906	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_011430480.1_10907	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_019923733.1_10908	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_011430479.1_10909	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935459.1_cds_XP_019923731.1_10910	sp|Q27802|DYHC2_TRIGR	0	XP_030836572.1	0	F18C12.1	0	FBgn0023096	5.04e-21
lcl|NW_011935459.1_cds_XP_011430485.1_10911	sp|Q27802|DYHC2_TRIGR	0	XP_030836572.1	0	F18C12.1	0	FBgn0023096	5.05e-21
lcl|NW_011935459.1_cds_XP_019923730.1_10912	sp|Q27802|DYHC2_TRIGR	0	XP_030836572.1	0	F18C12.1	0	FBgn0023096	5.05e-21
lcl|NW_011935459.1_cds_XP_011430488.1_10913	sp|Q8CCA0|DCNL4_MOUSE	2.35e-111	XP_030836570.1	4.87e-106	H38K22.2b	6.2e-31	NA	NA
lcl|NW_011935459.1_cds_XP_011430489.1_10914	sp|Q8CCA0|DCNL4_MOUSE	6.22e-111	XP_030836570.1	7.59e-109	H38K22.2b	3.62e-32	NA	NA
lcl|NW_011935460.1_cds_XP_011430491.2_10915	sp|Q612F5|PCCA_CAEBR	0	XP_030837461.1	0	F27D9.5	0	NA	NA
lcl|NW_011935460.1_cds_XP_019923734.1_10916	sp|Q93008|USP9X_HUMAN	0	XP_030838238.1	0	NA	NA	FBgn0005632	1.08e-49
lcl|NW_011935460.1_cds_XP_011430492.1_10917	NA	NA	XP_030843511.1	6.35e-22	NA	NA	NA	NA
lcl|NW_011935460.1_cds_XP_011430493.1_10918	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935460.1_cds_XP_011430494.1_10919	sp|Q5ZIG2|SLU7_CHICK	0	XP_030848402.1	4.42e-176	K07C5.6	1.38e-144	FBgn0039626	8.08e-21
lcl|NW_011935460.1_cds_XP_011430495.1_10920	sp|Q5ZIG2|SLU7_CHICK	0	XP_030848402.1	4.42e-176	K07C5.6	1.38e-144	FBgn0039626	8.08e-21
lcl|NW_011935460.1_cds_XP_019923735.1_10921	sp|P83088|FUCTC_DROME	6.09e-25	XP_011679465.2	2.36e-26	T05A7.5	1.64e-24	NA	NA
lcl|NW_011935461.1_cds_XP_019923736.1_10922	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935461.1_cds_XP_019923737.1_10923	NA	NA	XP_030856089.1	8.79e-103	NA	NA	NA	NA
lcl|NW_011935461.1_cds_XP_011430501.1_10924	NA	NA	XP_030838377.1	1.78e-73	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_019923739.1_10925	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_019923740.1_10926	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_019923741.1_10927	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_019923742.1_10928	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_019923743.1_10929	sp|Q9Y5X5|NPFF2_HUMAN	7.95e-27	XP_783326.1	2.22e-25	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_019923744.1_10930	sp|Q9Y5X5|NPFF2_HUMAN	7.95e-27	XP_783326.1	2.22e-25	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_011430530.2_10931	sp|G3V9H8|RET_RAT	2.14e-127	XP_030835985.1	6.54e-78	F58A3.2b	1.83e-68	NA	NA
lcl|NW_011935464.1_cds_XP_019923745.1_10932	sp|Q9HC21|TPC_HUMAN	2e-95	XP_784294.4	1.44e-106	C42C1.10	4.86e-76	NA	NA
lcl|NW_011935464.1_cds_XP_019923746.1_10933	sp|Q9HC21|TPC_HUMAN	2e-95	XP_784294.4	1.44e-106	C42C1.10	4.86e-76	NA	NA
lcl|NW_011935464.1_cds_XP_011430509.1_10934	sp|Q9HC21|TPC_HUMAN	2e-95	XP_784294.4	1.44e-106	C42C1.10	4.86e-76	NA	NA
lcl|NW_011935464.1_cds_XP_011430510.1_10935	sp|Q9HC21|TPC_HUMAN	2e-95	XP_784294.4	1.44e-106	C42C1.10	4.86e-76	NA	NA
lcl|NW_011935464.1_cds_XP_019923747.1_10936	sp|Q2PZL6|FAT4_MOUSE	0	XP_030836442.1	1.15e-119	F25F2.2	2.19e-88	NA	NA
lcl|NW_011935464.1_cds_XP_019923748.1_10937	sp|Q2PZL6|FAT4_MOUSE	0	XP_030836442.1	1.15e-119	F25F2.2	2.19e-88	NA	NA
lcl|NW_011935464.1_cds_XP_019923749.1_10938	sp|Q2PZL6|FAT4_MOUSE	0	XP_030836442.1	1.15e-119	F25F2.2	2.19e-88	NA	NA
lcl|NW_011935464.1_cds_XP_019923750.1_10939	sp|Q2PZL6|FAT4_MOUSE	0	XP_030836442.1	1.15e-119	F25F2.2	2.18e-88	NA	NA
lcl|NW_011935464.1_cds_XP_019923751.1_10940	sp|Q2PZL6|FAT4_MOUSE	0	XP_030836442.1	1.15e-119	F25F2.2	2.18e-88	NA	NA
lcl|NW_011935464.1_cds_XP_011430516.1_10941	sp|Q2PZL6|FAT4_MOUSE	0	XP_030836442.1	1.17e-119	F25F2.2	1.98e-88	NA	NA
lcl|NW_011935464.1_cds_XP_011430520.1_10942	sp|Q9BXU1|STK31_HUMAN	3.62e-26	XP_030835782.1	1.95e-35	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_011430518.1_10943	sp|Q9BXU1|STK31_HUMAN	3.68e-26	XP_030835782.1	2.49e-35	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_011430519.1_10944	sp|Q9BXU1|STK31_HUMAN	3.65e-26	XP_030835782.1	2.01e-35	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_011430517.1_10945	sp|Q9BXU1|STK31_HUMAN	3.71e-26	XP_030835782.1	1.85e-35	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_011430521.1_10946	sp|Q9BXU1|STK31_HUMAN	3.62e-26	XP_030835782.1	1.79e-35	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_019923752.1_10947	sp|P97363|SPTC2_MOUSE	0	XP_030854251.1	0	F43H9.2a	2.86e-180	NA	NA
lcl|NW_011935464.1_cds_XP_011430522.1_10948	sp|Q3B7D2|SPTC2_RAT	0	XP_030854251.1	0	F43H9.2a	1.42e-180	NA	NA
lcl|NW_011935464.1_cds_XP_011430523.1_10949	sp|Q3B7D2|SPTC2_RAT	0	XP_030854251.1	0	F43H9.2a	1.42e-180	NA	NA
lcl|NW_011935464.1_cds_XP_011430524.1_10950	sp|Q3B7D2|SPTC2_RAT	0	XP_030854251.1	0	F43H9.2a	1.42e-180	NA	NA
lcl|NW_011935464.1_cds_XP_011430527.1_10951	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_019923738.1_10952	sp|O08648|M3K4_MOUSE	2.25e-76	XP_030850850.1	6.47e-77	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_011430528.1_10953	NA	NA	XP_030840487.1	1.49e-44	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_019923753.1_10954	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_011430533.2_10955	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935464.1_cds_XP_019923754.1_10956	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935466.1_cds_XP_011430534.1_10957	sp|O18326|HUNB_BOMMO	1.37e-60	NA	NA	F13D11.2b	9.94e-55	FBgn0001180	2.01e-31
lcl|NW_011935466.1_cds_XP_019923756.1_10958	sp|O18326|HUNB_BOMMO	9.09e-61	NA	NA	F13D11.2b	6.71e-55	FBgn0001180	1.89e-31
lcl|NW_011935466.1_cds_XP_011430535.1_10959	sp|O18326|HUNB_BOMMO	9.7e-61	NA	NA	F13D11.2b	7.14e-55	FBgn0001180	1.9e-31
lcl|NW_011935466.1_cds_XP_011430536.1_10960	sp|O18326|HUNB_BOMMO	9.63e-61	NA	NA	F13D11.2b	7.09e-55	FBgn0001180	1.9e-31
lcl|NW_011935466.1_cds_XP_019923755.1_10961	sp|O18326|HUNB_BOMMO	9.29e-61	NA	NA	F13D11.2b	6.85e-55	FBgn0001180	1.89e-31
lcl|NW_011935466.1_cds_XP_011430540.1_10962	sp|O18326|HUNB_BOMMO	9.15e-61	NA	NA	F13D11.2b	6.76e-55	FBgn0001180	1.89e-31
lcl|NW_011935466.1_cds_XP_011430541.1_10963	sp|Q9CYF5|RCC1L_MOUSE	3.86e-126	XP_030843386.1	4.04e-107	W09G3.7a	2.52e-58	NA	NA
lcl|NW_011935466.1_cds_XP_011430542.1_10964	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935466.1_cds_XP_011430543.1_10965	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011935466.1_cds_XP_011430544.1_10966	NA	NA	NA	NA	NA	NA	NA	NA
